epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.786,1.45581,3.92532,0.23334,1.14449,1.70947,0.86305,0.7664,0.87063,0.55256,0.65596,0.54068,0.46657,0.30328,1.30645,3.44728,0.14755,0.96473,1.57318,0.000665679,0.000665679,0.000665679
2,380.584,1.24844,3.22311,0.10752,0.89958,1.49618,0.88129,0.79003,0.8587,0.58467,0.74913,0.65836,0.67708,0.45381,1.1556,2.9776,0.10492,0.83052,1.39183,0.00133205,0.00133205,0.00133205
3,561.288,1.17248,2.88805,0.10155,0.82924,1.42042,0.89109,0.77306,0.86958,0.5742,0.79494,0.66929,0.70184,0.50333,1.24467,2.67733,0.10465,0.81659,1.44141,0.00199724,0.00199724,0.00199724
4,741.608,1.10463,2.42789,0.08853,0.76265,1.35924,0.87443,0.82252,0.88548,0.6021,0.8378,0.72178,0.78454,0.60579,1.15779,2.22676,0.07926,0.76373,1.37946,0.00199601,0.00199601,0.00199601
5,921.881,1.05843,2.03762,0.07058,0.70519,1.31095,0.78479,0.53281,0.59199,0.37698,0.72157,0.47244,0.51567,0.40269,1.64619,3.50225,0.26906,1.64832,1.89608,0.0019929,0.0019929,0.0019929
6,1098.1,0.98637,1.77959,0.06694,0.65661,1.25751,0.89326,0.85664,0.90981,0.64082,0.8432,0.79039,0.83853,0.69534,1.07633,1.84343,0.07551,0.66495,1.30459,0.00198892,0.00198892,0.00198892
7,1279.08,0.93472,1.56776,0.05757,0.61604,1.20998,0.87559,0.88189,0.93443,0.6519,0.83027,0.81627,0.86914,0.73377,1.04239,1.64178,0.09867,0.65357,1.2756,0.00198406,0.00198406,0.00198406
8,1458.59,0.89426,1.30489,0.04631,0.59321,1.18688,0.93888,0.86089,0.94183,0.66568,0.90045,0.80716,0.87304,0.77088,1.03647,1.46503,0.04947,0.58952,1.27796,0.00197833,0.00197833,0.00197833
9,1638.66,0.83916,1.13255,0.04275,0.54589,1.14077,0.94226,0.86877,0.95522,0.69802,0.89468,0.8399,0.8956,0.81905,0.99894,1.17175,0.04803,0.55974,1.24771,0.00197172,0.00197172,0.00197172
10,1819.61,0.82345,1.05557,0.03426,0.53269,1.12731,0.93254,0.90709,0.94855,0.68849,0.8663,0.8189,0.87846,0.77847,0.99389,1.32731,0.04224,0.56053,1.26336,0.00196426,0.00196426,0.00196426
