epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.833,1.54321,3.74956,0.39233,1.41417,1.82817,0.88605,0.8487,0.90918,0.61159,0.804,0.74192,0.74794,0.51039,1.22018,2.35657,0.1766,0.7656,1.46773,0.00332948,0.00332948,0.00332948
2,491.119,1.09451,2.09261,0.12471,0.73693,1.38153,0.86792,0.8057,0.88339,0.60096,0.79522,0.71927,0.73936,0.57547,1.15759,2.19399,0.09903,0.8752,1.40873,0.00666133,0.00666133,0.00666133
3,722.635,1.14095,2.31223,0.09581,0.85231,1.43079,0.82255,0.7487,0.8327,0.5279,0.74388,0.64609,0.66657,0.50445,1.30926,2.52723,0.08725,1.04931,1.5944,0.00998727,0.00998727,0.00998727
4,952.179,1.1905,2.31168,0.08923,0.92545,1.46171,0.81553,0.74193,0.82179,0.52083,0.74465,0.64156,0.66085,0.46958,1.32082,2.67822,0.09734,1.02755,1.59578,0.00998003,0.00998003,0.00998003
5,1181.52,1.12386,2.01701,0.07513,0.85339,1.40435,0.85151,0.75478,0.84669,0.56318,0.79255,0.71652,0.74305,0.57449,1.21376,2.04734,0.07707,0.91981,1.49513,0.00996452,0.00996452,0.00996452
6,1411.88,1.06799,1.81718,0.06081,0.79358,1.35867,0.83942,0.73187,0.8118,0.52859,0.79945,0.65652,0.71497,0.57624,1.30342,2.26556,0.07889,0.99431,1.57199,0.0099446,0.0099446,0.0099446
7,1641.39,1.0124,1.70796,0.05634,0.74321,1.31533,0.87263,0.84004,0.90593,0.64261,0.84181,0.75913,0.81819,0.67845,1.0526,1.66648,0.06233,0.77567,1.3404,0.00992029,0.00992029,0.00992029
8,1871.69,0.96081,1.45371,0.04341,0.69824,1.26219,0.8886,0.83043,0.91022,0.64705,0.85091,0.76174,0.81294,0.69254,1.03171,1.67018,0.04971,0.76097,1.30475,0.00989163,0.00989163,0.00989163
9,2101.54,0.92814,1.40161,0.04098,0.67796,1.23976,0.86924,0.85551,0.91453,0.64923,0.88428,0.79739,0.8602,0.75309,1.06082,1.35739,0.04031,0.70896,1.32827,0.00985862,0.00985862,0.00985862
10,2331,0.88206,1.22622,0.03425,0.63104,1.20667,0.91321,0.86783,0.92848,0.66667,0.8897,0.82064,0.87314,0.75494,1.04161,1.34863,0.0385,0.67581,1.3292,0.00982132,0.00982132,0.00982132
11,2560.67,0.8555,1.16017,0.02872,0.60399,1.18441,0.87971,0.85304,0.9253,0.68892,0.84113,0.80571,0.84903,0.75423,0.95293,1.31599,0.033,0.65933,1.2554,0.00977975,0.00977975,0.00977975
12,2789.09,0.82343,1.09691,0.02751,0.57939,1.16072,0.88201,0.87565,0.92421,0.68557,0.82781,0.81103,0.84051,0.74838,0.98692,1.42765,0.03999,0.65981,1.27193,0.00973396,0.00973396,0.00973396
13,3018.3,0.79371,0.98288,0.02423,0.55945,1.13728,0.88333,0.86247,0.91796,0.67345,0.85661,0.83639,0.86554,0.78559,1.00645,1.17455,0.03515,0.68483,1.29797,0.00968399,0.00968399,0.00968399
14,3247.47,0.7783,0.94046,0.02256,0.54924,1.12321,0.91037,0.87433,0.9385,0.69543,0.88663,0.83647,0.88382,0.80046,0.96655,1.1428,0.02944,0.63834,1.2632,0.0096299,0.0096299,0.0096299
15,3476.62,0.74619,0.8722,0.01954,0.52486,1.09978,0.93315,0.86435,0.93829,0.69978,0.89339,0.83565,0.88556,0.80266,0.94292,1.09772,0.03361,0.62811,1.25985,0.00957172,0.00957172,0.00957172
16,3705.71,0.7141,0.79583,0.01909,0.50133,1.07387,0.92575,0.89304,0.9487,0.72072,0.89433,0.84957,0.89303,0.82103,0.90078,1.0346,0.03142,0.58026,1.21837,0.00950953,0.00950953,0.00950953
17,3935.13,0.69236,0.73035,0.01436,0.48365,1.0581,0.90362,0.90522,0.94921,0.72936,0.89175,0.86673,0.90996,0.83726,0.88169,0.94481,0.02681,0.56901,1.19461,0.00944338,0.00944338,0.00944338
18,4165.56,0.66803,0.70886,0.01455,0.46539,1.04001,0.92312,0.89826,0.95194,0.72926,0.89912,0.87391,0.91428,0.85119,0.88322,0.8658,0.0255,0.56387,1.19406,0.00937334,0.00937334,0.00937334
19,4396.06,0.64896,0.64759,0.01242,0.4503,1.02451,0.92364,0.90462,0.9564,0.75167,0.9095,0.87478,0.91785,0.85561,0.82857,0.85567,0.02631,0.54025,1.15757,0.00929948,0.00929948,0.00929948
20,4626.12,0.62572,0.62353,0.01305,0.43652,1.01007,0.92312,0.90834,0.95883,0.75528,0.9184,0.87098,0.9249,0.86534,0.82083,0.82524,0.02673,0.54426,1.14596,0.00922186,0.00922186,0.00922186
21,4856,0.60576,0.60138,0.01236,0.42184,0.99704,0.94313,0.89565,0.96168,0.75306,0.92261,0.87079,0.92316,0.8571,0.84396,0.86901,0.02985,0.52934,1.18716,0.00914058,0.00914058,0.00914058
22,5086,0.58853,0.56066,0.01078,0.41402,0.98739,0.94315,0.9089,0.96284,0.7558,0.91884,0.88435,0.92819,0.86303,0.81498,0.84235,0.02297,0.5181,1.15007,0.0090557,0.0090557,0.0090557
23,5321.14,0.55973,0.52602,0.00983,0.38957,0.96796,0.94143,0.9113,0.9627,0.76647,0.93565,0.87826,0.91698,0.8654,0.79274,0.80974,0.02374,0.49918,1.13712,0.00896731,0.00896731,0.00896731
